"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 11월 16일","139.53","141.07","141.77","137.77","37.25M","-3.00%"
"2018년 11월 15일","143.85","142.33","144.84","140.83","30.32M","-0.26%"
"2018년 11월 14일","144.22","143.70","145.58","141.55","22.07M","1.45%"
"2018년 11월 13일","142.16","142.00","144.88","141.62","15.14M","0.43%"
"2018년 11월 12일","141.55","144.48","145.04","140.49","18.54M","-2.35%"
"2018년 11월 09일","144.96","146.75","147.76","144.07","17.33M","-1.97%"
"2018년 11월 08일","147.87","150.49","150.94","146.74","24.15M","-2.42%"
"2018년 11월 07일","151.53","151.57","153.01","149.83","21.88M","1.06%"
"2018년 11월 06일","149.94","149.31","150.97","148.00","16.67M","0.85%"
"2018년 11월 05일","148.68","150.10","150.19","147.44","15.97M","-1.11%"
"2018년 11월 02일","150.35","151.80","154.13","148.96","24.71M","-0.92%"
"2018년 11월 01일","151.75","151.52","152.75","149.35","25.64M","-0.03%"
"2018년 10월 31일","151.79","155.00","156.40","148.96","60.10M","3.81%"
"2018년 10월 30일","146.22","139.94","146.64","139.74","50.53M","2.91%"
"2018년 10월 29일","142.09","148.50","148.83","139.03","31.34M","-2.26%"
"2018년 10월 26일","145.37","145.82","149.00","143.80","31.30M","-3.70%"
"2018년 10월 25일","150.95","147.73","152.21","147.00","22.11M","3.36%"
"2018년 10월 24일","146.04","154.28","154.65","145.60","27.74M","-5.41%"
"2018년 10월 23일","154.39","151.22","154.77","150.85","19.10M","-0.25%"
"2018년 10월 22일","154.78","154.76","157.34","154.46","15.42M","0.47%"
"2018년 10월 19일","154.05","155.86","157.35","153.55","19.76M","-0.56%"
"2018년 10월 18일","154.92","158.51","158.66","153.28","21.68M","-2.82%"
"2018년 10월 17일","159.42","159.56","160.49","157.95","17.59M","0.40%"
"2018년 10월 16일","158.78","155.40","159.46","155.01","19.18M","3.43%"
"2018년 10월 15일","153.52","153.32","155.57","152.55","15.43M","-0.14%"
"2018년 10월 12일","153.74","156.73","156.89","151.30","25.29M","0.25%"
"2018년 10월 11일","153.35","150.13","154.81","149.16","35.34M","1.30%"
"2018년 10월 10일","151.38","156.82","157.69","151.31","30.61M","-4.13%"
"2018년 10월 09일","157.90","157.69","160.59","157.42","18.84M","0.41%"
"2018년 10월 08일","157.25","155.54","158.34","154.39","24.05M","-0.05%"
"2018년 10월 05일","157.33","159.21","160.90","156.20","25.74M","-0.96%"
"2018년 10월 04일","158.85","161.46","161.46","157.35","25.74M","-2.20%"
"2018년 10월 03일","162.43","160.00","163.66","159.53","23.11M","1.95%"
"2018년 10월 02일","159.33","161.58","162.28","158.67","36.03M","-1.91%"
"2018년 10월 01일","162.44","163.03","165.88","161.26","26.41M","-1.23%"
"2018년 09월 28일","164.46","168.33","168.79","162.56","34.27M","-2.59%"
"2018년 09월 27일","168.84","167.55","171.77","167.21","27.27M","1.13%"
"2018년 09월 26일","166.95","164.30","169.30","164.21","25.25M","1.24%"
"2018년 09월 25일","164.91","161.99","165.59","161.15","27.62M","-0.30%"
"2018년 09월 24일","165.41","161.03","165.70","160.88","19.22M","1.52%"
"2018년 09월 21일","162.93","166.64","167.25","162.81","45.99M","-1.86%"
"2018년 09월 20일","166.02","164.50","166.45","164.47","18.94M","1.82%"
"2018년 09월 19일","163.06","160.08","163.44","159.48","19.63M","1.72%"
